JURISDICCION;OBJETIVO;EJE1;EJE2;NOMBRE_PROYECTO;DESCRIPCION_PROYECTO;FECHA_INICIO;FECHA_FIN;ETIQUETA;BARRIO
SECRETARIA DE CULTURA CIUDADANA Y FUNCION PUBLICA;LOGRAR QUE EL GCBA SEA UNA ORGANIZACION ALINEADA CON EL VALOR DE SERVICIO, REFLEJADA EN UNA RELACION DE CALIDAD HACIA EL VECINO Y UNA CULTURA INTERNA CONSOLIDADA EN VALORES.;DISFRUTE;;TALENTO JOVEN;BUSQUEDA Y SELECCION DE JOVENES CON ALTO POTENCIAL, LIDERAZGO Y VOCACION DE SERVICIO PARA INCORPORAR A LOS EQUIPOS DE TRABAJO DEL GCBA, NUTRIENDO ASI A LA ORGANIZACION DE EXCELENTES PERFILES PROFESIONALES Y (BRINDANDO ACCESO A LA EXPERIENCIA DEL SERVICIO PUBLICO).;10/12/2016;30/11/2017;JOVENES/ TRABAJO;
SECRETARIA DE INTEGRACION SOCIAL Y URBANA - BARRIO 31;GARANTIZAR CONDICIONES DE HABITABILIDAD DIGNAS Y SEGURAS PARA LOS VECINOS DEL BARRIO 31.;INTEGRACION SOCIAL;ESCALA HUMANA;BARRIO 31: NUEVAS VIVIENDAS EN EL PREDIO DE CONTEINERA;ESTAMOS CONSTUYENDO NUEVAS VIVIENDAS PARA AQUELLAS FAMILIAS AFECTADAS POR LA NUEVA TRAZA DE LA AUTOPISTA ILLIA. LA OBRA DE LAS CASAS ES ACOMPAÑADA POR UN PROCESO DE REASENTAMIENTO, A TRAVES DEL CUAL SE HACE UN TRABAJO DE PARTICIPACION CON LAS FAMILIAS, QUE TAMBIEN SON ACOMPAÑADAS POR EQUIPOS DE TRABAJADORES SOCIALES. LA CONSTRUCCION DE LAS VIVIENDAS SE REALIZA EN EL PREDIO DE CONTEINERA, UBICADO DENTRO DEL POLIGONO DEL BARRIO 31.;27/9/2016;14/7/2018;DERECHOS/ INTEGRACION SOCIAL Y URBANA/ VIVIENDA/ PARTICIPACION CIUDADANA;RETIRO
SECRETARIA DE INTEGRACION SOCIAL Y URBANA - BARRIO 31;GARANTIZAR CONDICIONES DE HABITABILIDAD DIGNAS Y SEGURAS PARA LOS VECINOS DEL BARRIO 31.;INTEGRACION SOCIAL;ESCALA HUMANA;BARRIO 31: NUEVAS VIVIENDAS EN EL EX PREDIO YPF;LAS FAMILIAS QUE VIVEN ACTUALMENTE BAJO LA AUTOPISTA ILLIA SE ENCUENTRAN EN UNA SITUACION QUE NO PERMITE LA MEJORA DE SUS CONDICIONES DE HABITABILIDADL. VAMOS  A CONSTRUIR NUEVAS VIVIENDAS PARA GARANTIZARLES EL DERECHO A UN HABITAT DIGNO. EL REASENTAMIENTO SE REALIZA JUNTO A CADA FAMILIA, CON LA PARTICIPACION Y EL ACOMPAÑAMIENTO DE TRABAJADORES SOCIALES COMO ELEMENTOS CLAVES DEL PROCESO. LAS VIVIENDAS ESTARAN UBICADAS EN EL EX PREDIO YPF, DENTRO DEL POLIGONO DEL BARRIO 31.;15/8/2016;22/2/2019;DERECHOS/ INTEGRACION SOCIAL Y URBANA/ VIVIENDA;RETIRO
SECRETARIA DE INTEGRACION SOCIAL Y URBANA - BARRIO 31;GARANTIZAR CONDICIONES DE HABITABILIDAD DIGNAS Y SEGURAS PARA LOS VECINOS DEL BARRIO 31.;INTEGRACION SOCIAL;ESCALA HUMANA;MEJORAMIENTO DE VIVIENDAS EN EL BARRIO 31;ESTAMOS MEJORANDO TODAS LAS VIVIENDAS QUE SEAN POSIBLES DENTRO DEL BARRIO 31, TANTO EN SU INTERIOR COMO EN SU EXTERIOR. SE REFUERZAN LAS ESTRUCTURAS PARA QUE SEAN MAS SEGURAS, SE MEJORA LA ACCESIBILIDAD, LA VENTILACION Y LA CONFIGURACION INTERNA, Y SE ADECUA LA INFRAESTRUCTURA SANITARIA Y ELECTRICA. TODAS LAS OBRAS SON LLEVADAS A CABO POR EMPRESAS PRIVADAS Y COOPERATIVAS DEL BARRIO.;1/2/2016;30/12/2018;DERECHOS/ INTEGRACION SOCIAL Y URBANA/ VIVIENDA/ OBRAS PUBLICAS;RETIRO
SECRETARIA DE INTEGRACION SOCIAL Y URBANA - BARRIO 31;MEJORAR EL ACCESO A Y LA CALIDAD DE LOS SERVICIOS BASICOS Y EL ESPACIO PUBLICO PARA TODOS LOS VECINOS DEL BARRIO 31.;INTEGRACION SOCIAL;ESCALA HUMANA;PLAN DE INFRAESTRUCTURA INTEGRAL BARRIO 31;LAS OBRAS DE INFRAESTRUCTURA ESTAN LLEGANDO A TODO EL BARRIO 31. SE ESTA COMPLETANDO Y READECUANDO LA RED EXISTENTE, A TRAVES DE UN PLAN INTEGRAL QUE TERMINARA CONECTANDO LA INFRAESTRUCTURA CON LA DEL RESTO DE LA CIUDAD DE BUENOS AIRES. SON OBRAS QUE ABARCAN LA PAVIMENTACION, LA RED CLOACAL Y PLUVIAL, LA RED DE AGUA POTABLE, EL TENDIDO ELECTRICO Y LA LUMINARIA PUBLICA. ASI, ESTAMOS GARANTIZANDO QUE TODOS LOS VECINOS TENGAN ACCESO A LOS SERVICIOS BASICOS.;1/7/2016;5/2/2019;DERECHOS/ INTEGRACION SOCIAL Y URBANA/ OBRAS PUBLICAS;RETIRO
SECRETARIA DE INTEGRACION SOCIAL Y URBANA - BARRIO 31;MEJORAR EL ACCESO A Y LA CALIDAD DE LOS SERVICIOS BASICOS Y EL ESPACIO PUBLICO PARA TODOS LOS VECINOS DEL BARRIO 31.;INTEGRACION SOCIAL;ESCALA HUMANA;PARQUE EN ALTURA BARRIO 31;EL PARQUE EN ALTURA SERA UN GRAN ESPACIO PUBLICO QUE CONECTARA AL BARRIO 31 CON LA CIUDAD DE BUENOS AIRES. LOS KILOMETROS DE ASFALTO DE LA AUTOPISTA ILLIA SE REEMPLAZARAN POR 70.000M2 DE VERDE, Y EL ESPACIO PUBLICO POR HABITANTE DEL BARRIO 31 CRECERA DE 0,8 A 7,3M2. YA ESTAMOS LLEVANDO ADELANTE LAS INSTANCIAS PARTICIPATIVAS JUNTO A LA COMUNIDAD, PARA QUE LA IDENTIDAD DE LOS VECINOS SE VEA PLASMADA EN EL USO DE ESTE PARQUE EN ALTURA QUE CONTARA CON JUEGOS, ESPACIOS VERDES, DEPORTIVOS Y DE RECREACION.;15/3/2017;31/12/2019;DERECHOS/ INTEGRACION SOCIAL Y URBANA/ VIVIENDA/ OBRAS PUBLICAS/ PARTICIPACION CIUDADANA;RETIRO
SECRETARIA DE INTEGRACION SOCIAL Y URBANA - BARRIO 31;MEJORAR EL ACCESO A Y LA CALIDAD DE LOS SERVICIOS BASICOS Y EL ESPACIO PUBLICO PARA TODOS LOS VECINOS DEL BARRIO 31.;INTEGRACION SOCIAL;ESCALA HUMANA;MEJORAMIENTO DEL ESPACIO PUBLICO;ESTAMOS PONIENDO EN VALOR TODOS LOS ESPACIOS PUBLICOS DEL BARRIO 31, CON LA PARTICIPACION DE LOS VECINOS COMO ELEMENTO FUNDAMENTAL PARA LA ELABORACION DE LOS PROYECTOS DE OBRA. A TRAVES DE ESTAS INTERVENCIONES, SE BUSCA QUE LOS ESPACIOS SEAN ACCESIBLES PARA VECINOS DE TODAS LAS EDADES Y PARA PERSONAS CON DISCAPACIDAD, FAVORECIENDO EL USO DEPORTIVO Y DE JUEGO PARA NIÑOS. ADEMAS, SE REORDENA EL ESPACIO PARA SUMAR METROS CUADRADOS DE VERDE, Y SE MEJORA LA INFRAESTRUCTURA PARA JERARQUIZAR LAS CIRCULACIONES. ESTAMOS CONVENCIDOS DE QUE LAS CANCHAS Y LAS PLAZAS DEL BARRIO 31 SON PUNTOS DE ENCUENTRO FUNDAMENTALES PARA TODA LA COMUNIDAD.;1/3/2016;30/11/2018;INTEGRACION SOCIAL Y URBANA/ ESPACIO PUBLICO;RETIRO
SECRETARIA DE CULTURA CIUDADANA Y FUNCION PUBLICA;LOGRAR QUE EL GCBA SEA UNA ORGANIZACION ALINEADA CON EL VALOR DE SERVICIO, REFLEJADA EN UNA RELACION DE CALIDAD HACIA EL VECINO Y UNA CULTURA INTERNA CONSOLIDADA EN VALORES.;DISFRUTE;;DESARROLLO DEL SISTEMA DE PROMOCION HORIZONTAL;POR PRIMERA VEZ EN SU HISTORIA, LOS/AS TRABAJADORES/AS EL ESTADO DE LA CIUDAD PODRAN CRECER EN FUNCION DE SUS MERITOS PERSONALES. PARA ELLO, SE ENCUENTRA EN DISEÑO UN SISTEMA DE PROMOCION QUE VINCULA A LA EVALUACION DE DESEMPEÑO Y PREMIARA A AQUELLOS AGENTES QUE SE CAPACITEN EN TEMAS DE RELEVANCIA PARA SU PUESTO DE TRABAJO. CORRESPONDE A SU VEZ DESTACAR QUE ESTE PROCESO FUE LLEVADO A CABO EN TOTAL CONCENSO CON EL SINDICATO, HECHO QUE ASEGURA LA PERDURABILIDAD DEL SISTEMA Y LA VOLUNTAD DE DOTAR AL GOBIERNO DE LA CIUDAD DE UNA PLANTA DE SERIVIDORES PUBLICOS COMPROMETIDOS CON SU TAREA.;2/1/2017;30/12/2017;TRABAJO/ GOBIERNO ABIERTO;
MINISTERIO DE SALUD;FORTALECER Y PERFILAR LA RED DE HOSPITALES.;INTEGRACION SOCIAL;;MEJORA DE LA EXPERIENCIA EN HOSPITALES;MEJORA EN EL PROCESO DE ATENCION AL PUBLICO,  ATENCION DE ADMINISTRATIVOS Y RECEPCION 24HS EN COORDINACION CON AREA DE ATENCION CIUDADANA Y CULTURA CIUDADANA Y EL MINISTERIO DE JUSTICIA Y SEGURIDAD.;1/11/2016;30/1/2018;ATENCION AL VECINO/ SALUD;MONTE CASTRO
MINISTERIO DE MODERNIZACION, INNOVACION Y TECNOLOGIA;POSICIONAR A CABA COMO UNA CIUDAD INNOVADORA.;CREATIVIDAD;DISFRUTE;PLANETARIO;TRAER EL PLANETARIO AL SIGLO XXI A TRAVES DE LA PUESTA EN VALOR DE SU INFRAESTRUCTURA Y DE LA OFERTA DE ACTIVIDADES.;1/1/2017;30/9/2017;CULTURA/ OBRAS PUBLICAS;PALERMO
